Domain,Have_HTTPS,Have_At,URL_Length,URL_Depth,Redirection,http_https_Domain,Prefix_Suffix,SubDomainCount,DNS_Record,AgeOfDomain,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Google_Index,Favicon,CopyRightSymbol,CopyRightYear,Domain_Around_CopyRight,LinkRatio,SSL_Domain_Name,Submit_Handler,FormMail,NonStandardPort,SubPagesCount,IndexPagesCount,MLSTagsRatio,Anchor_URL,RequestUrl,Empty_Link,visibilityMode,Label
http://bt.attadbehind.work/cl/0_pt/17/120478/8851/0/0,1,0,53,7,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
https://mnuc2a.webwave.dev/,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
http://mnuc2a.webwave.dev/,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
https://winter-hat-9e79.lj1pache.workers.dev/,0,0,45,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1
https://sp960402.sitebeat.crazydomains.com/,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1
http://panemicav2.rf.gd,1,0,23,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0.333333,1,1,0,0,1
https://ipfs.best-practice.se/ipfs/QmQU2j7361adXic6Hnj686YYhTe4fLmZKEHWhvejtY1Wfp#ana.sampaio@itau-unibanco.com.br,0,1,114,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1
http://duploocapital.com.br/,1,0,28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,6,1,1,1,0.052632,0,1
https://compactway.com//2023/aruba/post.php,0,0,43,3,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
https://is.gd/areaprivatabpersmart,0,0,34,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0.992042,0.025478,0,1
https://hajexfitness.com/,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.003185,0,0,0,0,152,1220,1,0.564756,0.047745,0.025478,0,1
https://bit.ly/digBPER,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1
https://accountresolvedapps.web.app/,0,0,36,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0.181818,0,1
https://asb-logon-review.web.app/,0,0,33,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
https://asb-verify.web.app/,0,0,27,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
https://bendigo-verify-identity.web.app/,0,0,40,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
https://de9138023.web.app/,0,0,26,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
https://dtplkvixf.web.app/,0,0,26,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
https://euuomdrtk.web.app/,0,0,26,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
https://evri-id-b4b95.web.app/,0,0,30,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
https://file-share-from-andy-open-folder-view.web.app/,0,0,54,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
https://file-share-from-robert-folder-view.web.app/,0,0,51,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1
https://lordcommandre.web.app/,0,0,30,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1
